"Country","Year","Value","Destination"
"TUN",1980,6390000,"pop 17"
"TUR",1980,42171000,"pop 17"
"TKM",1980,NA,"pop 17"
"TUV",1980,NA,"pop 17"
"ARE",1980,1010000,"pop 17"
"UGA",1980,12528000,"pop 17"
"UKR",1980,NA,"pop 17"
"GBR",1980,56330000,"pop 17"
"USA",1980,227622000,"pop 17"
"URY",1980,2912000,"pop 17"
"UZB",1980,NA,"pop 17"
"VUT",1980,115000,"pop 17"
"VEN",1980,14946000,"pop 17"
"VNM",1980,54180000,"pop 17"
"YEM",1980,NA,"pop 17"
"ZMB",1980,5831000,"pop 17"
"ZWE",1980,7359000,"pop 17"
"AFG",1981,NA,"pop 17"
"ALB",1981,2724000,"pop 17"
"DZA",1981,19246000,"pop 17"
"AGO",1981,7744000,"pop 17"
"ATG",1981,63000,"pop 17"
"ARG",1981,28226000,"pop 17"
"ARM",1981,NA,"pop 17"
"AUS",1981,15039000,"pop 17"
"AUT",1981,7565000,"pop 17"
"AZE",1981,NA,"pop 17"
"COL",1981,29080000,"pop 17"
"BHS",1981,215000,"pop 17"
"BHR",1981,361000,"pop 17"
"BGD",1981,82884000,"pop 17"
"BRB",1981,250000,"pop 17"
"BLR",1981,NA,"pop 17"
"BEL",1981,9863000,"pop 17"
"BLZ",1981,150000,"pop 17"
"BEN",1981,3678000,"pop 17"
"BTN",1981,443000,"pop 17"
"BOL",1981,5409000,"pop 17"
"BIH",1981,NA,"pop 17"
"BWA",1981,924000,"pop 17"
"ATG",1982,63000,"pop 17"
"ARG",1982,28703000,"pop 17"
"ARM",1982,NA,"pop 17"
"AUS",1982,15289000,"pop 17"
"AUT",1982,7574000,"pop 17"
"AZE",1982,NA,"pop 17"
"COL",1982,29718000,"pop 17"
"BHS",1982,220000,"pop 17"
"BHR",1982,374000,"pop 17"
"BGD",1982,85156000,"pop 17"
"BRB",1982,250000,"pop 17"
"BLR",1982,NA,"pop 17"
"BEL",1982,9855000,"pop 17"
"BLZ",1982,153000,"pop 17"
"BEN",1982,3791000,"pop 17"
"BTN",1982,454000,"pop 17"
"BOL",1982,5521000,"pop 17"
"BIH",1982,NA,"pop 17"
"BWA",1982,958000,"pop 17"
"BRA",1982,126608000,"pop 17"
"BRN",1982,NA,"pop 17"
"BGR",1982,8922000,"pop 17"
"BFA",1982,7965000,"pop 17"
"BDI",1982,4334000,"pop 17"
"KHM",1982,NA,"pop 17"
"CMR",1982,9335000,"pop 17"
"CAN",1982,25083000,"pop 17"
"CPV",1982,277000,"pop 17"
"CAF",1982,2440000,"pop 17"
"TCD",1982,4636000,"pop 17"
"CHL",1982,11545000,"pop 17"
"CHN",1982,1016540000,"pop 17"
"COM",1982,363000,"pop 17"
"COD",1982,31821000,"pop 17"
"COG",1982,1698000,"pop 17"
"CRI",1982,NA,"pop 17"
"CIV",1982,8850000,"pop 17"
"HRV",1982,4621548,"pop 17"
"CYP",1982,526000,"pop 17"
"CZE",1982,10315000,"pop 17"
"DNK",1982,5119000,"pop 17"
"DJI",1982,NA,"pop 17"
"DMA",1982,NA,"pop 17"
