"Country","Year","Value","Destination"
"LVA",1991,2651000,"pop 17"
"LBN",1991,2981000,"pop 17"
"LSO",1991,1544000,"pop 17"
"LBR",1991,NA,"pop 17"
"LBY",1991,4422000,"pop 17"
"LTU",1991,3704000,"pop 17"
"LUX",1991,388000,"pop 17"
"MKD",1991,1923000,"pop 17"
"MDG",1991,12389000,"pop 17"
"MWI",1991,10275000,"pop 17"
"MYS",1991,18547000,"pop 17"
"MDV",1991,222000,"pop 17"
"MLI",1991,8831000,"pop 17"
"MLT",1991,353000,"pop 17"
"MHL",1991,NA,"pop 17"
"MRT",1991,2050000,"pop 17"
"MUS",1991,1071000,"pop 17"
"MEX",1991,84793000,"pop 17"
"FSM",1991,NA,"pop 17"
"MDA",1991,NA,"pop 17"
"MNG",1991,2121000,"pop 17"
"MNE",1991,592000,"pop 17"
"MAR",1991,24524000,"pop 17"
"MOZ",1991,14420000,"pop 17"
"MMR",1991,NA,"pop 17"
"NAM",1991,1403000,"pop 17"
"NPL",1991,19595000,"pop 17"
"NLD",1991,15070000,"pop 17"
"NZL",1991,3501000,"pop 17"
"NIC",1991,NA,"pop 17"
"NER",1991,8133000,"pop 17"
"NGA",1991,93161000,"pop 17"
"NOR",1991,4274000,"pop 17"
"OMN",1991,1910000,"pop 17"
"PAK",1991,110800000,"pop 17"
"PAN",1991,2443000,"pop 17"
"PNG",1991,3875000,"pop 17"
"PRY",1991,4354000,"pop 17"
"PER",1991,22180000,"pop 17"
"BRN",1990,253000,"pop 17"
"BGR",1990,8718000,"pop 17"
"BFA",1990,9289000,"pop 17"
"BDI",1990,5460000,"pop 17"
"KHM",1990,8487000,"pop 17"
"CMR",1990,11685000,"pop 17"
"CAN",1990,27632000,"pop 17"
"CPV",1990,345000,"pop 17"
"CAF",1990,2945000,"pop 17"
"TCD",1990,5648000,"pop 17"
"CHL",1990,13179000,"pop 17"
"CHN",1990,1143330000,"pop 17"
"COM",1990,452000,"pop 17"
"COD",1990,41258000,"pop 17"
"COG",1990,2232000,"pop 17"
"CRI",1990,NA,"pop 17"
"CIV",1990,11720000,"pop 17"
"HRV",1990,4772556,"pop 17"
"CYP",1990,585000,"pop 17"
"CZE",1990,10363000,"pop 17"
"DNK",1990,5135000,"pop 17"
"DJI",1990,NA,"pop 17"
"DMA",1990,71000,"pop 17"
"DOM",1990,6849000,"pop 17"
"ECU",1990,10630000,"pop 17"
"EGY",1990,51360000,"pop 17"
"SLV",1990,5555000,"pop 17"
"GNQ",1990,376000,"pop 17"
"ERI",1990,NA,"pop 17"
"EST",1990,1569000,"pop 17"
"ETH",1990,48338000,"pop 17"
"FJI",1990,724000,"pop 17"
"GIN",1990,6147000,"pop 17"
"FIN",1990,4998000,"pop 17"
"FRA",1990,56577000,"pop 17"
"GAB",1990,930000,"pop 17"
"GMB",1990,891000,"pop 17"
"GEO",1990,NA,"pop 17"
"DEU",1990,78959000,"pop 17"
"GHA",1990,14306000,"pop 17"
"GRC",1990,10161000,"pop 17"
"GRD",1990,96000,"pop 17"
"GTM",1990,8215000,"pop 17"
"GNB",1990,933000,"pop 17"
"GUY",1990,751000,"pop 17"
"HTI",1990,7076000,"pop 17"
"HND",1990,4956000,"pop 17"
"HKG",1990,5752000,"pop 17"
"HUN",1990,10375000,"pop 17"
"ISL",1990,256000,"pop 17"
"IND",1990,843250000,"pop 17"
"IDN",1990,179379000,"pop 17"
"IRN",1990,54500000,"pop 17"
"IRQ",1990,NA,"pop 17"
"IRL",1990,3506000,"pop 17"
"ISR",1990,4500000,"pop 17"
"ITA",1990,56694000,"pop 17"
"JAM",1990,2364000,"pop 17"
"JPN",1990,123459000,"pop 17"
"JOR",1990,3468000,"pop 17"
"KAZ",1990,NA,"pop 17"
"KEN",1990,24143000,"pop 17"
"KIR",1990,72000,"pop 17"
"KOR",1990,42869000,"pop 17"
"UVK",1990,NA,"pop 17"
"KWT",1990,2130000,"pop 17"
"KGZ",1990,NA,"pop 17"
"LAO",1990,4192000,"pop 17"
"LVA",1990,2663000,"pop 17"
"LBN",1990,2830000,"pop 17"
"LSO",1990,1523000,"pop 17"
"LBR",1990,NA,"pop 17"
"LBY",1990,4334000,"pop 17"
"LTU",1990,3698000,"pop 17"
"LUX",1990,383000,"pop 17"
"MKD",1990,1909000,"pop 17"
"MDG",1990,12033000,"pop 17"
"MWI",1990,10039000,"pop 17"
"MYS",1990,18267000,"pop 17"
"MDV",1990,212000,"pop 17"
"MLI",1990,8573000,"pop 17"
"MLT",1990,349000,"pop 17"
"MHL",1990,NA,"pop 17"
"MRT",1990,1996000,"pop 17"
"MUS",1990,1060000,"pop 17"
"MEX",1990,83226000,"pop 17"
"FSM",1990,NA,"pop 17"
"MDA",1990,NA,"pop 17"
"MNG",1990,2071000,"pop 17"
"MNE",1990,644000,"pop 17"
"MAR",1990,24043000,"pop 17"
"MOZ",1990,14151000,"pop 17"
"MMR",1990,NA,"pop 17"
"NAM",1990,1345000,"pop 17"
"NPL",1990,19114000,"pop 17"
"NLD",1990,14952000,"pop 17"
"NZL",1990,3411000,"pop 17"
"NIC",1990,NA,"pop 17"
"NER",1990,7874000,"pop 17"
"NGA",1990,90557000,"pop 17"
"NOR",1990,4250000,"pop 17"
"OMN",1990,1843000,"pop 17"
"PAK",1990,108400000,"pop 17"
"PAN",1990,2394000,"pop 17"
"PNG",1990,3758000,"pop 17"
"PRY",1990,4089000,"pop 17"
"PER",1990,21753000,"pop 17"
"PHL",1990,61500000,"pop 17"
"POL",1990,38186000,"pop 17"
"PRT",1990,9996000,"pop 17"
"QAT",1990,422000,"pop 17"
"ROU",1990,23435000,"pop 17"
"RUS",1990,147700000,"pop 17"
"RWA",1990,7155000,"pop 17"
"WSM",1990,NA,"pop 17"
"SMR",1990,NA,"pop 17"
"STP",1990,116000,"pop 17"
"SAU",1990,15187000,"pop 17"
"SEN",1990,7332000,"pop 17"
"SRB",1990,7806000,"pop 17"
"SYC",1990,70000,"pop 17"
"SLE",1990,3528000,"pop 17"
"SGP",1990,3135000,"pop 17"
"SVK",1990,5287663,"pop 17"
"SVN",1990,1996377,"pop 17"
"SLB",1990,321000,"pop 17"
"ZAF",1990,36848000,"pop 17"
"SSD",1990,NA,"pop 17"
"ESP",1990,38837000,"pop 17"
"LKA",1990,16267000,"pop 17"
"KNA",1990,42000,"pop 17"
"LCA",1990,134000,"pop 17"
"VCT",1990,106000,"pop 17"
"SDN",1990,25750000,"pop 17"
"SUR",1990,NA,"pop 17"
"SWZ",1990,885000,"pop 17"
"SWE",1990,8591000,"pop 17"
"CHE",1990,6674000,"pop 17"
"SYR",1990,12721000,"pop 17"
"TWN",1990,20401000,"pop 17"
"TJK",1990,NA,"pop 17"
"TZA",1990,26374000,"pop 17"
"THA",1990,56303000,"pop 17"
"TLS",1990,NA,"pop 17"
"TGO",1990,3455000,"pop 17"
"TON",1990,96000,"pop 17"
"TTO",1990,NA,"pop 17"
"TUN",1990,8154000,"pop 17"
"TUR",1990,52436000,"pop 17"
"TKM",1990,NA,"pop 17"
"TUV",1990,NA,"pop 17"
"ARE",1990,1844000,"pop 17"
"UGA",1990,17553000,"pop 17"
"UKR",1990,NA,"pop 17"
"GBR",1990,57237000,"pop 17"
"USA",1990,250047000,"pop 17"
"URY",1990,3094000,"pop 17"
"UZB",1990,NA,"pop 17"
"VUT",1990,148000,"pop 17"
"VEN",1990,19403000,"pop 17"
"VNM",1990,66017000,"pop 17"
"YEM",1990,12086000,"pop 17"
"ZMB",1990,7910000,"pop 17"
"ZWE",1990,10155000,"pop 17"
"AFG",1991,NA,"pop 17"
"ALB",1991,3141000,"pop 17"
"DZA",1991,25643000,"pop 17"
"AGO",1991,11084000,"pop 17"
"PHL",1991,63000000,"pop 17"
"POL",1991,38286000,"pop 17"
"PRT",1991,9970000,"pop 17"
"QAT",1991,436000,"pop 17"
"ROU",1991,23400000,"pop 17"
"RUS",1991,148300000,"pop 17"
"RWA",1991,7375000,"pop 17"
"WSM",1991,NA,"pop 17"
"SMR",1991,NA,"pop 17"
"STP",1991,119000,"pop 17"
"SAU",1991,15947000,"pop 17"
"SEN",1991,7540000,"pop 17"
"SRB",1991,7836000,"pop 17"
"SYC",1991,70000,"pop 17"
"SLE",1991,3607000,"pop 17"
"SGP",1991,3231000,"pop 17"
"SVK",1991,5310711,"pop 17"
"SVN",1991,1999945,"pop 17"
"SLB",1991,332000,"pop 17"
"ZAF",1991,37670000,"pop 17"
"SSD",1991,NA,"pop 17"
"ESP",1991,38940000,"pop 17"
"LKA",1991,16448000,"pop 17"
"KNA",1991,42000,"pop 17"
"LCA",1991,136000,"pop 17"
"VCT",1991,106000,"pop 17"
"SDN",1991,26530000,"pop 17"
"SUR",1991,NA,"pop 17"
"SWZ",1991,908000,"pop 17"
"SWE",1991,8644000,"pop 17"
"CHE",1991,6757000,"pop 17"
"SYR",1991,13102000,"pop 17"
"TWN",1991,20606000,"pop 17"
"TJK",1991,NA,"pop 17"
"TZA",1991,27210000,"pop 17"
"THA",1991,56961000,"pop 17"
"TLS",1991,NA,"pop 17"
"TGO",1991,3548000,"pop 17"
"TON",1991,97000,"pop 17"
"TTO",1991,NA,"pop 17"
"TUN",1991,8318000,"pop 17"
"TUR",1991,53491000,"pop 17"
"TKM",1991,NA,"pop 17"
"TUV",1991,NA,"pop 17"
"ARE",1991,1928000,"pop 17"
"UGA",1991,18177000,"pop 17"
"UKR",1991,NA,"pop 17"
"GBR",1991,57439000,"pop 17"
"USA",1991,253392000,"pop 17"
"URY",1991,3112000,"pop 17"
"UZB",1991,NA,"pop 17"
"VUT",1991,151000,"pop 17"
"VEN",1991,19871000,"pop 17"
"VNM",1991,67242000,"pop 17"
"YEM",1991,12660000,"pop 17"
"ZMB",1991,8152000,"pop 17"
"ZWE",1991,10474000,"pop 17"
"AFG",1992,NA,"pop 17"
"ALB",1992,3110000,"pop 17"
"DZA",1992,26271000,"pop 17"
"AGO",1992,11395000,"pop 17"
"ATG",1992,63000,"pop 17"
"ARG",1992,33157000,"pop 17"
"ARM",1992,3500000,"pop 17"
"AUS",1992,17581000,"pop 17"
"AUT",1992,7841000,"pop 17"
"AZE",1992,7362000,"pop 17"
"COL",1992,35530000,"pop 17"
"BHS",1992,264000,"pop 17"
"BHR",1992,520000,"pop 17"
"BGD",1992,110226000,"pop 17"
"BRB",1992,250000,"pop 17"
"BLR",1992,10217000,"pop 17"
"BEL",1992,10022000,"pop 17"
"BLZ",1992,199000,"pop 17"
"BEN",1992,5167000,"pop 17"
"BTN",1992,546000,"pop 17"
"BOL",1992,6789000,"pop 17"
"BIH",1992,NA,"pop 17"
"BWA",1992,1355000,"pop 17"
"BRA",1992,154422000,"pop 17"
"BRN",1992,267000,"pop 17"
"BGR",1992,8553000,"pop 17"
"BFA",1992,9841000,"pop 17"
"ARM",1993,3700000,"pop 17"
"AUS",1993,17760000,"pop 17"
"AUT",1993,7906000,"pop 17"
"AZE",1993,7390000,"pop 17"
"COL",1993,36208000,"pop 17"
"BHS",1993,269000,"pop 17"
"BHR",1993,540000,"pop 17"
"BGD",1993,112645000,"pop 17"
"BRB",1993,250000,"pop 17"
"BLR",1993,10240000,"pop 17"
"BEL",1993,10068000,"pop 17"
"BLZ",1993,205000,"pop 17"
"BEN",1993,5318000,"pop 17"
"BTN",1993,534000,"pop 17"
"BOL",1993,6983000,"pop 17"
"BIH",1993,NA,"pop 17"
"BWA",1993,1389000,"pop 17"
"BRA",1993,156907000,"pop 17"
"BRN",1993,274000,"pop 17"
"BGR",1993,8463000,"pop 17"
"BFA",1993,10125000,"pop 17"
"BDI",1993,5770000,"pop 17"
"KHM",1993,9306000,"pop 17"
"CMR",1993,12787000,"pop 17"
"CAN",1993,28651000,"pop 17"
"CPV",1993,374000,"pop 17"
"CAF",1993,3150000,"pop 17"
"TCD",1993,6064000,"pop 17"
"CHL",1993,13908000,"pop 17"
"CHN",1993,1185170000,"pop 17"
"COM",1993,461000,"pop 17"
"COD",1993,45479000,"pop 17"
"COG",1993,2443000,"pop 17"
"CRI",1993,NA,"pop 17"
"CIV",1993,13922000,"pop 17"
"HRV",1993,4624000,"pop 17"
"CYP",1993,632000,"pop 17"
"CZE",1993,10331000,"pop 17"
"DNK",1993,5181000,"pop 17"
"DJI",1993,526000,"pop 17"
"DMA",1993,71000,"pop 17"
"DOM",1993,7293000,"pop 17"
"ECU",1993,11364000,"pop 17"
"EGY",1993,54615000,"pop 17"
"SLV",1993,5671000,"pop 17"
"GNQ",1993,416000,"pop 17"
"ERI",1993,3192000,"pop 17"
"EST",1993,1511000,"pop 17"
"ETH",1993,53507000,"pop 17"
"FJI",1993,748000,"pop 17"
"GIN",1993,6955000,"pop 17"
"FIN",1993,5078000,"pop 17"
"FRA",1993,57369000,"pop 17"
"GAB",1993,1014000,"pop 17"
"GMB",1993,1021000,"pop 17"
"GEO",1993,NA,"pop 17"
"DEU",1993,81179000,"pop 17"
"GHA",1993,15431000,"pop 17"
"GRC",1993,10468000,"pop 17"
"GRD",1993,98000,"pop 17"
"GTM",1993,8857000,"pop 17"
"GNB",1993,991000,"pop 17"
"GUY",1993,747000,"pop 17"
"HTI",1993,7500000,"pop 17"
"HND",1993,5346000,"pop 17"
"HKG",1993,5998000,"pop 17"
"HUN",1993,10365000,"pop 17"
"ISL",1993,265000,"pop 17"
"IND",1993,896500000,"pop 17"
"IDN",1993,188452000,"pop 17"
"IRN",1993,61000000,"pop 17"
"IRQ",1993,NA,"pop 17"
"IRL",1993,3574000,"pop 17"
"ISR",1993,4986000,"pop 17"
"ITA",1993,56822000,"pop 17"
"JAM",1993,2422000,"pop 17"
"JPN",1993,124799000,"pop 17"
"JOR",1993,3993000,"pop 17"
"KAZ",1993,16900000,"pop 17"
"KEN",1993,26304000,"pop 17"
"KIR",1993,75000,"pop 17"
"KOR",1993,44195000,"pop 17"
"UVK",1993,NA,"pop 17"
"BDI",1992,5780000,"pop 17"
"KHM",1992,9024000,"pop 17"
"CMR",1992,12412000,"pop 17"
"CAN",1992,28324000,"pop 17"
"CPV",1992,364000,"pop 17"
"CAF",1992,3071000,"pop 17"
"TCD",1992,5922000,"pop 17"
"CHL",1992,13665000,"pop 17"
"CHN",1992,1171710000,"pop 17"
"COM",1992,449000,"pop 17"
"COD",1992,44026000,"pop 17"
"COG",1992,2371000,"pop 17"
"CRI",1992,NA,"pop 17"
"CIV",1992,12670000,"pop 17"
"HRV",1992,4730000,"pop 17"
"CYP",1992,617000,"pop 17"
"CZE",1992,10318000,"pop 17"
"DNK",1992,5162000,"pop 17"
"DJI",1992,512000,"pop 17"
"DMA",1992,71000,"pop 17"
"DOM",1992,7129000,"pop 17"
"ECU",1992,11122000,"pop 17"
"EGY",1992,53508000,"pop 17"
"SLV",1992,5632000,"pop 17"
"GNQ",1992,402000,"pop 17"
"ERI",1992,3195000,"pop 17"
"EST",1992,1533000,"pop 17"
"ETH",1992,51736000,"pop 17"
"FJI",1992,738000,"pop 17"
"GIN",1992,6670000,"pop 17"
"FIN",1992,5055000,"pop 17"
"FRA",1992,57111000,"pop 17"
"GAB",1992,990000,"pop 17"
"GMB",1992,965000,"pop 17"
"GEO",1992,NA,"pop 17"
"DEU",1992,80594000,"pop 17"
"GHA",1992,15046000,"pop 17"
"GRC",1992,10354000,"pop 17"
"GRD",1992,97000,"pop 17"
"GTM",1992,8628000,"pop 17"
"GNB",1992,971000,"pop 17"
"GUY",1992,739000,"pop 17"
"HTI",1992,7348000,"pop 17"
"HND",1992,5205000,"pop 17"
"HKG",1992,5888000,"pop 17"
"HUN",1992,10374000,"pop 17"
"ISL",1992,262000,"pop 17"
"IND",1992,877000000,"pop 17"
"IDN",1992,185378000,"pop 17"
"IRN",1992,61560000,"pop 17"
"IRQ",1992,NA,"pop 17"
"IRL",1992,3555000,"pop 17"
"ISR",1992,4808000,"pop 17"
"ITA",1992,56773000,"pop 17"
"JAM",1992,2401000,"pop 17"
"JPN",1992,124392000,"pop 17"
"JOR",1992,3844000,"pop 17"
"KAZ",1992,17048000,"pop 17"
"KEN",1992,25610000,"pop 17"
"KIR",1992,74000,"pop 17"
"KOR",1992,43748000,"pop 17"
"UVK",1992,NA,"pop 17"
"KWT",1992,1420000,"pop 17"
"KGZ",1992,4430000,"pop 17"
"LAO",1992,4435000,"pop 17"
"LVA",1992,2677000,"pop 17"
"LBN",1992,3040000,"pop 17"
"LSO",1992,1605000,"pop 17"
"LBR",1992,NA,"pop 17"
"LBY",1992,4510000,"pop 17"
"LTU",1992,3700000,"pop 17"
"LUX",1992,393000,"pop 17"
"MKD",1992,1933000,"pop 17"
"MDG",1992,12758000,"pop 17"
"MWI",1992,10400000,"pop 17"
"MYS",1992,19068000,"pop 17"
"MDV",1992,228000,"pop 17"
"MLI",1992,9096000,"pop 17"
"MLT",1992,356000,"pop 17"
"MHL",1992,NA,"pop 17"
"MRT",1992,2108000,"pop 17"
"MUS",1992,1085000,"pop 17"
"MEX",1992,86369000,"pop 17"
"FSM",1992,NA,"pop 17"
"MDA",1992,4400000,"pop 17"
"MNG",1992,2161000,"pop 17"
"MNE",1992,594000,"pop 17"
"MAR",1992,24999000,"pop 17"
"MOZ",1992,14690000,"pop 17"
"MMR",1992,NA,"pop 17"
"NAM",1992,1455000,"pop 17"
"NPL",1992,20096000,"pop 17"
"NLD",1992,15184000,"pop 17"
"NZL",1992,3538000,"pop 17"
"NIC",1992,NA,"pop 17"
"NER",1992,8410000,"pop 17"
"NGA",1992,95725000,"pop 17"
"NOR",1992,4299000,"pop 17"
"OMN",1992,1979000,"pop 17"
"PAK",1992,114075000,"pop 17"
"PAN",1992,2488000,"pop 17"
"PNG",1992,4181000,"pop 17"
"PRY",1992,4461000,"pop 17"
"PER",1992,22597000,"pop 17"
"PHL",1992,64400000,"pop 17"
"POL",1992,38386000,"pop 17"
"PRT",1992,9965000,"pop 17"
"QAT",1992,450000,"pop 17"
"ROU",1992,23310000,"pop 17"
"RUS",1992,148600000,"pop 17"
"RWA",1992,7380000,"pop 17"
"WSM",1992,NA,"pop 17"
"SMR",1992,NA,"pop 17"
"STP",1992,123000,"pop 17"
"SAU",1992,16948000,"pop 17"
"SEN",1992,7748000,"pop 17"
"SRB",1992,7852000,"pop 17"
"SYC",1992,71000,"pop 17"
"SLE",1992,3696000,"pop 17"
"SGP",1992,3314000,"pop 17"
"SVK",1992,5295877,"pop 17"
"SVN",1992,2000000,"pop 17"
"SLB",1992,343000,"pop 17"
"ZAF",1992,38507000,"pop 17"
"SSD",1992,NA,"pop 17"
"ESP",1992,39069000,"pop 17"
"LKA",1992,16631000,"pop 17"
"KNA",1992,42000,"pop 17"
"LCA",1992,138000,"pop 17"
"VCT",1992,106000,"pop 17"
"SDN",1992,27320000,"pop 17"
"SUR",1992,NA,"pop 17"
"SWZ",1992,930000,"pop 17"
"SWE",1992,8692000,"pop 17"
"CHE",1992,6843000,"pop 17"
"SYR",1992,13484000,"pop 17"
"TWN",1992,20803000,"pop 17"
"TJK",1992,5536000,"pop 17"
"TZA",1992,28066000,"pop 17"
"THA",1992,57789000,"pop 17"
"TLS",1992,NA,"pop 17"
"TGO",1992,3635000,"pop 17"
"TON",1992,97000,"pop 17"
"TTO",1992,NA,"pop 17"
"TUN",1992,8490000,"pop 17"
"TUR",1992,54547000,"pop 17"
"TKM",1992,3861000,"pop 17"
"TUV",1992,NA,"pop 17"
"ARE",1992,2011000,"pop 17"
"UGA",1992,18808000,"pop 17"
"UKR",1992,51708000,"pop 17"
"GBR",1992,57585000,"pop 17"
"USA",1992,256777000,"pop 17"
"URY",1992,3131000,"pop 17"
"UZB",1992,21360000,"pop 17"
"VUT",1992,154000,"pop 17"
"VEN",1992,20339000,"pop 17"
"VNM",1992,68450000,"pop 17"
"YEM",1992,13289000,"pop 17"
"ZMB",1992,8395000,"pop 17"
"ZWE",1992,10803000,"pop 17"
"AFG",1993,NA,"pop 17"
"ALB",1993,3095000,"pop 17"
"DZA",1993,26894000,"pop 17"
"AGO",1993,11714000,"pop 17"
"ATG",1993,65000,"pop 17"
"ARG",1993,33651000,"pop 17"
"KWT",1993,1460000,"pop 17"
"KGZ",1993,4505000,"pop 17"
"LAO",1993,4557000,"pop 17"
"LVA",1993,2669000,"pop 17"
"LBN",1993,3101000,"pop 17"
"LSO",1993,1644000,"pop 17"
"LBR",1993,NA,"pop 17"
"LBY",1993,4599000,"pop 17"
"LTU",1993,3683000,"pop 17"
"LUX",1993,399000,"pop 17"
"MKD",1993,1942000,"pop 17"
"MDG",1993,13140000,"pop 17"
"MWI",1993,10461000,"pop 17"
"MYS",1993,19602000,"pop 17"
"MDV",1993,234000,"pop 17"
"MLI",1993,9368000,"pop 17"
"MLT",1993,359000,"pop 17"
"MHL",1993,NA,"pop 17"
"MRT",1993,2167000,"pop 17"
"MUS",1993,1097000,"pop 17"
"MEX",1993,87954000,"pop 17"
"FSM",1993,NA,"pop 17"
"MDA",1993,4400000,"pop 17"
"MNG",1993,2181000,"pop 17"
"MNE",1993,596000,"pop 17"
"MAR",1993,25469000,"pop 17"
"MOZ",1993,15005000,"pop 17"
"MMR",1993,NA,"pop 17"
"NAM",1993,1504000,"pop 17"
"NPL",1993,20614000,"pop 17"
"NLD",1993,15290000,"pop 17"
"NZL",1993,3579000,"pop 17"
"NIC",1993,NA,"pop 17"
"NER",1993,8701000,"pop 17"
"NGA",1993,98360000,"pop 17"
"NOR",1993,4325000,"pop 17"
"OMN",1993,2047000,"pop 17"
"PAK",1993,117020000,"pop 17"
"PAN",1993,2535000,"pop 17"
"PNG",1993,4288000,"pop 17"
"PRY",1993,4568000,"pop 17"
"PER",1993,22639000,"pop 17"
"PHL",1993,65900000,"pop 17"
"POL",1993,38501000,"pop 17"
"PRT",1993,9975000,"pop 17"
"QAT",1993,464000,"pop 17"
"ROU",1993,23182000,"pop 17"
"RUS",1993,148400000,"pop 17"
"RWA",1993,7609000,"pop 17"
"WSM",1993,NA,"pop 17"
"SMR",1993,NA,"pop 17"
"STP",1993,124000,"pop 17"
"SAU",1993,17277000,"pop 17"
"SEN",1993,7956000,"pop 17"
"SRB",1993,7848000,"pop 17"
"SYC",1993,72000,"pop 17"
"SLE",1993,3793000,"pop 17"
"SGP",1993,3419000,"pop 17"
"SVK",1993,5308000,"pop 17"
"SVN",1993,1990000,"pop 17"
"SLB",1993,354000,"pop 17"
"ZAF",1993,39343000,"pop 17"
"SSD",1993,NA,"pop 17"
"ESP",1993,39190000,"pop 17"
"LKA",1993,16850000,"pop 17"
"KNA",1993,41000,"pop 17"
"LCA",1993,140000,"pop 17"
"VCT",1993,106000,"pop 17"
"SDN",1993,28130000,"pop 17"
"SUR",1993,NA,"pop 17"
"SWZ",1993,951000,"pop 17"
"SWE",1993,8745000,"pop 17"
"CHE",1993,6908000,"pop 17"
"SYR",1993,13865000,"pop 17"
"TWN",1993,20995000,"pop 17"
"TJK",1993,5573000,"pop 17"
"TZA",1993,28935000,"pop 17"
"THA",1993,58336000,"pop 17"
"TLS",1993,NA,"pop 17"
"TGO",1993,3724000,"pop 17"
"TON",1993,98000,"pop 17"
"TTO",1993,NA,"pop 17"
"TUN",1993,8572000,"pop 17"
"TUR",1993,55455000,"pop 17"
"TKM",1993,3900000,"pop 17"
"TUV",1993,NA,"pop 17"
"ARE",1993,2083000,"pop 17"
"UGA",1993,19447000,"pop 17"
"UKR",1993,51870000,"pop 17"
"GBR",1993,57714000,"pop 17"
"USA",1993,260146000,"pop 17"
"URY",1993,3149000,"pop 17"
"UZB",1993,21853000,"pop 17"
"VUT",1993,157000,"pop 17"
"VEN",1993,20806000,"pop 17"
"VNM",1993,69645000,"pop 17"
"YEM",1993,13948000,"pop 17"
"ZMB",1993,8639000,"pop 17"
"ZWE",1993,11182000,"pop 17"
"AFG",1994,NA,"pop 17"
"ALB",1994,3033000,"pop 17"
"DZA",1994,27496000,"pop 17"
"AGO",1994,12042000,"pop 17"
"ATG",1994,66000,"pop 17"
"ARG",1994,33967000,"pop 17"
"ARM",1994,3753000,"pop 17"
"AUS",1994,17952000,"pop 17"
"AUT",1994,7936000,"pop 17"
"AZE",1994,7498000,"pop 17"
"COL",1994,36863000,"pop 17"
"BHS",1994,273000,"pop 17"
"BHR",1994,560000,"pop 17"
"BGD",1994,115059000,"pop 17"
"BRB",1994,264000,"pop 17"
"BLR",1994,10228000,"pop 17"
"BEL",1994,10101000,"pop 17"
"BLZ",1994,211000,"pop 17"
"BEN",1994,5471000,"pop 17"
"BTN",1994,523000,"pop 17"
"BOL",1994,7182000,"pop 17"
"BIH",1994,NA,"pop 17"
"BWA",1994,1438000,"pop 17"
"BRA",1994,159399000,"pop 17"
"BRN",1994,281000,"pop 17"
"BGR",1994,8377000,"pop 17"
"BFA",1994,10412000,"pop 17"
"ARM",1995,3670000,"pop 17"
"AUS",1995,18196000,"pop 17"
"AUT",1995,7948000,"pop 17"
"AZE",1995,7585000,"pop 17"
"COL",1995,37490000,"pop 17"
"BHS",1995,279000,"pop 17"
"BHR",1995,580000,"pop 17"
"BGD",1995,117487000,"pop 17"
"BRB",1995,264000,"pop 17"
"BLR",1995,10177000,"pop 17"
"BEL",1995,10131000,"pop 17"
"BLZ",1995,217000,"pop 17"
"BEN",1995,5625000,"pop 17"
"BTN",1995,519000,"pop 17"
"BOL",1995,7387000,"pop 17"
"BIH",1995,NA,"pop 17"
"BWA",1995,1469000,"pop 17"
"BRA",1995,161848000,"pop 17"
"BRN",1995,287000,"pop 17"
"BGR",1995,8297000,"pop 17"
"BFA",1995,10705000,"pop 17"
"BDI",1995,5980000,"pop 17"
"KHM",1995,11500000,"pop 17"
"CMR",1995,13537000,"pop 17"
"CAN",1995,29263000,"pop 17"
"CPV",1995,394000,"pop 17"
"CAF",1995,3347000,"pop 17"
"TCD",1995,6596000,"pop 17"
"CHL",1995,14395000,"pop 17"
"CHN",1995,1211210000,"pop 17"
"COM",1995,487000,"pop 17"
"COD",1995,48530000,"pop 17"
"COG",1995,2590000,"pop 17"
"CRI",1995,NA,"pop 17"
"CIV",1995,14755000,"pop 17"
"HRV",1995,4453000,"pop 17"
"CYP",1995,652000,"pop 17"
"CZE",1995,10333000,"pop 17"
"DNK",1995,5216000,"pop 17"
"DJI",1995,556000,"pop 17"
"DMA",1995,71000,"pop 17"
"BDI",1994,5870000,"pop 17"
"KHM",1994,11161000,"pop 17"
"CMR",1994,13168000,"pop 17"
"CAN",1994,28960000,"pop 17"
"CPV",1994,385000,"pop 17"
"CAF",1994,3242000,"pop 17"
"TCD",1994,6210000,"pop 17"
"CHL",1994,14152000,"pop 17"
"CHN",1994,1198500000,"pop 17"
"COM",1994,474000,"pop 17"
"COD",1994,46980000,"pop 17"
"COG",1994,2516000,"pop 17"
"CRI",1994,NA,"pop 17"
"CIV",1994,14339000,"pop 17"
"HRV",1994,4524000,"pop 17"
"CYP",1994,645000,"pop 17"
"CZE",1994,10336000,"pop 17"
"DNK",1994,5197000,"pop 17"
"DJI",1994,541000,"pop 17"
"DMA",1994,71000,"pop 17"
"DOM",1994,7425000,"pop 17"
"ECU",1994,11598000,"pop 17"
"EGY",1994,55746000,"pop 17"
"SLV",1994,5710000,"pop 17"
"GNQ",1994,430000,"pop 17"
"ERI",1994,3199000,"pop 17"
"EST",1994,1477000,"pop 17"
"ETH",1994,55283000,"pop 17"
"FJI",1994,758000,"pop 17"
"GIN",1994,7230000,"pop 17"
"FIN",1994,5099000,"pop 17"
"FRA",1994,57565000,"pop 17"
"GAB",1994,1039000,"pop 17"
"GMB",1994,1057000,"pop 17"
"GEO",1994,4930000,"pop 17"
"DEU",1994,81422000,"pop 17"
"GHA",1994,15825000,"pop 17"
"GRC",1994,10577000,"pop 17"
"GRD",1994,99000,"pop 17"
"GTM",1994,9095000,"pop 17"
