"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","2002","ROU",14735100,477636.952998379
"0001","2002","SVN",1011645.78683814,32792.4080012364
"0001","2002","SWE",1667202.25,54042.2123176661
"0001","2003","AUT",470276.4,15243.9675850891
"0001","2003","BEL",10936191.05,354495.65802269
"0001","2003","BGR",2162800,70106.9692058347
"0001","2003","ESP",19637221.85,636538.795786062
"0001","2003","EST",1474677.15,47801.528363047
"0001","2003","FRA",22121743.35,717074.338735819
"0001","2003","GBR",57976839.6,1879314.08752026
"0001","2003","GRC",7477535.75,242383.654781199
"0001","2003","HRV",2027620,65725.1215559157
"0001","2003","HUN",5583857.5,181000.243111831
"0001","2003","IRL",5011538.95,162448.588330632
"0001","2003","ITA",10857863.4,351956.674230146
"0001","2003","LTU",2517663.55,81609.8395461912
"0001","2003","LUX",255700,8288.49270664505
"0001","2003","LVA",2132398.3,69121.5008103728
"0001","2003","NLD",19549271.5,633687.893030794
"0001","2003","POL",9711888.5,314810
"0001","2003","PRT",902067.7,29240.4440842788
"0001","2003","ROU",20409542.2,661573.491085899
"0001","2003","SVN",1425239.55,46199.0129659643
"0001","2003","SWE",3002504.4,97325.9124797407
"0001","2004","BEL",13002441.3,421472.975688817
"0001","2004","BGR",3216997.15,104278.675850891
"0001","2004","CYP",605900,19640.1944894652
"0001","2004","ESP",14834385.05,480855.26904376
"0001","2004","EST",1022966.75,33159.376012966
"0001","2004","FRA",22075820.15,715585.742301458
"0001","2004","GBR",61637415.7,1997971.33549433
"0001","2004","GRC",8768542.95,284231.53808752
"0001","2004","HRV",1824185.6,59130.8136142626
"0001","2004","HUN",5319681.55,172437.003241491
"0001","2004","IRL",5261222.3,170542.051863857
"0001","2004","ITA",14524086.4,470796.965964344
"0001","2004","LTU",2538120.6,82272.9529983792
"0001","2004","LUX",465400,15085.8995137763
"0001","2004","LVA",1935170.7,62728.3857374392
"0001","2004","MLT",20700,670.988654781199
"0001","2004","NLD",7046655.25,228416.70178282
"0001","2004","POL",18956579.15,614475.823338736
"0001","2004","PRT",1366337.7,44289.7147487844
"0001","2004","ROU",17763690.7,575808.450567261
"0001","2004","SVN",1346042.45,43631.8460291734
"0001","2004","SWE",1497484.55,48540.8282009724
"0001","2005","BEL",15090263.15,489149.534846029
"0001","2005","BGR",3690771.05,119636.01458671
"0001","2005","CYP",746300,24191.2479740681
"0001","2005","DNK",310697.75,10071.2398703404
"0001","2005","ESP",24305351.5,787855.802269044
"0001","2005","EST",1200635.8,38918.5024311183
"0001","2005","GBR",64815968.4,2101003.83792545
"0001","2005","GRC",8490945.3,275233.235008104
"0001","2005","HRV",1611681.9,52242.5251215559
"0001","2005","HUN",5148398.9,166884.891410049
"0001","2005","IRL",2968847.9,96234.9400324149
"0001","2005","ITA",14388394.9,466398.53808752
"0001","2005","LTU",2032768.5,65892.0097244733
"0001","2005","LUX",725600,23520.2593192869
"0001","2005","LVA",2170452.25,70355.0162074554
"0001","2005","MLT",18300,593.192868719611
"0001","2005","NLD",9119394.4,295604.356564019
"0001","2005","POL",13109469.5,424942.285251216
"0001","2005","PRT",5001981.05,162138.769854133
"0001","2005","ROU",20902095.1,677539.549432739
