"UNU_Key","Country","Year","Value","Parameter","Description"
"02","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","GRC","2005",0.85,"EEE_KG_INH_EUROSTAT","eurostat"
"02","HUN","2005",0.97,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LTU","2005",0.72,"EEE_KG_INH_EUROSTAT","eurostat"
"02","LUX","2005",3.31,"EEE_KG_INH_EUROSTAT","eurostat"
"02","MLT","2005",1.55,"EEE_KG_INH_EUROSTAT","eurostat"
"02","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","NOR","2005",2.05,"EEE_KG_INH_EUROSTAT","eurostat"
"02","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","PRT","2005",1.78,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SVK","2005",0.57,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"02","SWE","2005",1.01,"EEE_KG_INH_EUROSTAT","eurostat"
"02","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","AUT","2005",1.38,"EEE_KG_INH_EUROSTAT","eurostat"
"03","BEL","2005",3.12,"EEE_KG_INH_EUROSTAT","eurostat"
"03","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","CYP","2005",2.42,"EEE_KG_INH_EUROSTAT","eurostat"
"03","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","FIN","2005",1.63,"EEE_KG_INH_EUROSTAT","eurostat"
"03","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","GRC","2005",1.19,"EEE_KG_INH_EUROSTAT","eurostat"
"03","HUN","2005",1.22,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LTU","2005",1.64,"EEE_KG_INH_EUROSTAT","eurostat"
"03","LUX","2005",1.2,"EEE_KG_INH_EUROSTAT","eurostat"
"03","MLT","2005",2.15,"EEE_KG_INH_EUROSTAT","eurostat"
"03","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","NOR","2005",7.51,"EEE_KG_INH_EUROSTAT","eurostat"
"03","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","PRT","2005",2.11,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SVK","2005",0.79,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"03","SWE","2005",1.82,"EEE_KG_INH_EUROSTAT","eurostat"
"03","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","AUT","2005",1.71,"EEE_KG_INH_EUROSTAT","eurostat"
"04","BEL","2005",3.33,"EEE_KG_INH_EUROSTAT","eurostat"
"04","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","CYP","2005",0.67,"EEE_KG_INH_EUROSTAT","eurostat"
"04","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","FIN","2005",1.43,"EEE_KG_INH_EUROSTAT","eurostat"
"04","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","GRC","2005",2.02,"EEE_KG_INH_EUROSTAT","eurostat"
"04","HUN","2005",3.18,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LTU","2005",2.12,"EEE_KG_INH_EUROSTAT","eurostat"
"04","LUX","2005",3.58,"EEE_KG_INH_EUROSTAT","eurostat"
"04","MLT","2005",2.66,"EEE_KG_INH_EUROSTAT","eurostat"
"04","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","NOR","2005",40.97,"EEE_KG_INH_EUROSTAT","eurostat"
"04","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","PRT","2005",1.66,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SVK","2005",1.77,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"04","SWE","2005",1.21,"EEE_KG_INH_EUROSTAT","eurostat"
"04","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","AUT","2005",0.17,"EEE_KG_INH_EUROSTAT","eurostat"
"05","BEL","2005",1.79,"EEE_KG_INH_EUROSTAT","eurostat"
"05","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","CYP","2005",0.45,"EEE_KG_INH_EUROSTAT","eurostat"
"05","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","FIN","2005",0.71,"EEE_KG_INH_EUROSTAT","eurostat"
"05","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","GRC","2005",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"05","HUN","2005",0.46,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LTU","2005",0.56,"EEE_KG_INH_EUROSTAT","eurostat"
"05","LUX","2005",0.59,"EEE_KG_INH_EUROSTAT","eurostat"
"05","MLT","2005",1.54,"EEE_KG_INH_EUROSTAT","eurostat"
"05","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","NOR","2005",4.33,"EEE_KG_INH_EUROSTAT","eurostat"
"05","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","PRT","2005",1.25,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","SVK","2005",0.51,"EEE_KG_INH_EUROSTAT","eurostat"
"05","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"05","SWE","2005",0.68,"EEE_KG_INH_EUROSTAT","eurostat"
"05","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","AUT","2005",0.22,"EEE_KG_INH_EUROSTAT","eurostat"
"06","BEL","2005",0.99,"EEE_KG_INH_EUROSTAT","eurostat"
"06","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","CYP","2005",1.15,"EEE_KG_INH_EUROSTAT","eurostat"
"06","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","FIN","2005",0.62,"EEE_KG_INH_EUROSTAT","eurostat"
"06","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","GRC","2005",0.2,"EEE_KG_INH_EUROSTAT","eurostat"
"06","HUN","2005",0.56,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LTU","2005",0.69,"EEE_KG_INH_EUROSTAT","eurostat"
"06","LUX","2005",0.9,"EEE_KG_INH_EUROSTAT","eurostat"
"06","MLT","2005",0.85,"EEE_KG_INH_EUROSTAT","eurostat"
"06","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","NOR","2005",4.39,"EEE_KG_INH_EUROSTAT","eurostat"
"06","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","PRT","2005",0.51,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","SVK","2005",0.6,"EEE_KG_INH_EUROSTAT","eurostat"
"06","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"06","SWE","2005",0.27,"EEE_KG_INH_EUROSTAT","eurostat"
"06","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","AUT","2005",0.09,"EEE_KG_INH_EUROSTAT","eurostat"
"07","BEL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","CYP","2005",0.18,"EEE_KG_INH_EUROSTAT","eurostat"
"07","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","FIN","2005",0.12,"EEE_KG_INH_EUROSTAT","eurostat"
"07","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","GRC","2005",0.11,"EEE_KG_INH_EUROSTAT","eurostat"
"07","HUN","2005",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LTU","2005",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"07","LUX","2005",0.21,"EEE_KG_INH_EUROSTAT","eurostat"
"07","MLT","2005",0.33,"EEE_KG_INH_EUROSTAT","eurostat"
"07","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","NOR","2005",1.04,"EEE_KG_INH_EUROSTAT","eurostat"
"07","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","PRT","2005",0.15,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","SVK","2005",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"07","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"07","SWE","2005",0.06,"EEE_KG_INH_EUROSTAT","eurostat"
"07","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","AUT","2005",0.004,"EEE_KG_INH_EUROSTAT","eurostat"
"08","BEL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","CYP","2005",1.05,"EEE_KG_INH_EUROSTAT","eurostat"
"08","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","FIN","2005",0.08,"EEE_KG_INH_EUROSTAT","eurostat"
"08","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","GRC","2005",0.07,"EEE_KG_INH_EUROSTAT","eurostat"
"08","HUN","2005",0,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LTU","2005",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"08","LUX","2005",0.006,"EEE_KG_INH_EUROSTAT","eurostat"
"08","MLT","2005",0.3,"EEE_KG_INH_EUROSTAT","eurostat"
"08","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","NOR","2005",1.06,"EEE_KG_INH_EUROSTAT","eurostat"
"08","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","PRT","2005",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","SVK","2005",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"08","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"08","SWE","2005",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"08","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","AUT","2005",0.08,"EEE_KG_INH_EUROSTAT","eurostat"
"09","BEL","2005",0.12,"EEE_KG_INH_EUROSTAT","eurostat"
"09","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","CYP","2005",0.26,"EEE_KG_INH_EUROSTAT","eurostat"
"09","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","FIN","2005",0.28,"EEE_KG_INH_EUROSTAT","eurostat"
"09","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","GRC","2005",0.07,"EEE_KG_INH_EUROSTAT","eurostat"
"09","HUN","2005",0.009,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LTU","2005",0.1,"EEE_KG_INH_EUROSTAT","eurostat"
"09","LUX","2005",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"09","MLT","2005",0.37,"EEE_KG_INH_EUROSTAT","eurostat"
"09","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","NOR","2005",3.47,"EEE_KG_INH_EUROSTAT","eurostat"
"09","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","PRT","2005",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","SVK","2005",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"09","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"09","SWE","2005",0.03,"EEE_KG_INH_EUROSTAT","eurostat"
"09","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","AUT","2005",0.06,"EEE_KG_INH_EUROSTAT","eurostat"
"10","BEL","2005",0.03,"EEE_KG_INH_EUROSTAT","eurostat"
"10","BGR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","HRV","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","CYP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","CZE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","DNK","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","EST","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","FIN","2005",0.05,"EEE_KG_INH_EUROSTAT","eurostat"
"10","FRA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","DEU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","GRC","2005",0.04,"EEE_KG_INH_EUROSTAT","eurostat"
"10","HUN","2005",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ISL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","IRL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ITA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LVA","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LIE","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LTU","2005",0.01,"EEE_KG_INH_EUROSTAT","eurostat"
"10","LUX","2005",0,"EEE_KG_INH_EUROSTAT","eurostat"
"10","MLT","2005",0.08,"EEE_KG_INH_EUROSTAT","eurostat"
"10","NLD","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","NOR","2005",0.06,"EEE_KG_INH_EUROSTAT","eurostat"
"10","POL","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","PRT","2005",0.13,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ROU","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","SVK","2005",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"10","SVN","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","ESP","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"10","SWE","2005",0.02,"EEE_KG_INH_EUROSTAT","eurostat"
"10","GBR","2005",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","AUT","2006",18.96,"EEE_KG_INH_EUROSTAT","eurostat"
"0","BEL","2006",23.67,"EEE_KG_INH_EUROSTAT","eurostat"
"0","BGR","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","HRV","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","CYP","2006",19.87,"EEE_KG_INH_EUROSTAT","eurostat"
"0","CZE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","DNK","2006",31.9,"EEE_KG_INH_EUROSTAT","eurostat"
"0","EST","2006",13.6,"EEE_KG_INH_EUROSTAT","eurostat"
"0","FIN","2006",26.39,"EEE_KG_INH_EUROSTAT","eurostat"
"0","FRA","2006",23.35,"EEE_KG_INH_EUROSTAT","eurostat"
"0","DEU","2006",22.29,"EEE_KG_INH_EUROSTAT","eurostat"
"0","GRC","2006",15.96,"EEE_KG_INH_EUROSTAT","eurostat"
"0","HUN","2006",13.48,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ISL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","IRL","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","ITA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LVA","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LIE","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LTU","2006",15.22,"EEE_KG_INH_EUROSTAT","eurostat"
"0","LUX","2006",16.8,"EEE_KG_INH_EUROSTAT","eurostat"
"0","MLT","2006",24.9,"EEE_KG_INH_EUROSTAT","eurostat"
"0","NLD","2006",NA,"EEE_KG_INH_EUROSTAT","eurostat"
