"UNU_Key","Year","Country","POM_kg_new","POM_pieces_new","POM_kg_original","POM_Pieces_original","Reason"
"0104","2000","ROU",36116455,509641,7153834.53,9475,"Outlier detection with Feng. Corrected with ratio LVA"
"0104","2001","ROU",36369749,513216,994624.03,14109,"Outlier detection with Feng. Corrected with ratio LVA"
"0104","1995","SWE",14558355,209896,10412808.72,150127,"Feng, corrected with ratio GBR PPI"
"0104","1996","SWE",11800865,170139,10364395.44,149429,"Feng, corrected with ratio GBR PPI"
"0104","1997","SWE",11891411,170885,10953851.33,157412,"Feng, corrected with ratio GBR PPI"
"0104","1998","SWE",15008613,214979,10749096.13,153967,"Feng, corrected with ratio GBR PPI"
"0104","1999","SWE",18152070,259162,14558671.26,207858,"Feng, corrected with ratio GBR PPI"
"0104","2000","SWE",19329185,275076,15481431.12,220318,"Feng, corrected with ratio GBR PPI"
"0104","2001","SWE",20016944,283953,15445595.5,219105.7638,"Feng, corrected with ratio GBR PPI"
"0104","2002","SWE",20290889,286907,15419633.82,218029,"Feng, corrected with ratio GBR PPI"
"0105","2010","GBR",72141137,1587987,NA,NA,"Feng says should be 0.8. I used ratio DEU to level around 1.2."
"0105","2011","GBR",74836869,1647327,NA,NA,"Feng says should be 0.8. I used ratio DEU to level around 1.2."
"0105","2012","GBR",76198498,1677299,NA,NA,"Feng says should be 0.8. I used ratio DEU to level around 1.2."
"0105","2013","GBR",91923169,2023434,4311865,93777,"Corrected with ratio DEU"
"0105","2014","GBR",104431094,2298761,6575496,143008,"Corrected with ratio DEU"
"0105","2015","GBR",126001486,2773574,11197977,243540,"Corrected with ratio DEU"
"0105","1995","ITA",7711119,178389,16619383.79,402099.1023,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","1996","ITA",7836081,181280,16475799.41,430514.748,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","1997","ITA",10404527,240698,19462368.29,501339.7781,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","1998","ITA",11193036,258940,18662955.76,474022.8241,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","1999","ITA",8719609,201719,20846297.11,522173.8017,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","2000","ITA",13952709,322782,23353343.57,577012.4775,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","2001","ITA",11847830,274088,32510867.62,792492.3767,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","2002","ITA",9739522,225314,36911462.65,887843.5798,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","2003","ITA",12699660,293794,34989097.38,830601.7181,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","2004","ITA",11448292,264845,33139608.16,776544.897,"Outlier detection with Feng. Corrected with ratio PRT"
"0105","2011","NLD",12266483,266779,2853909.56,62068.49848,"Outlier detection with Feng. Corrected with ratio DEU"
"0105","2012","NLD",12435163,270447,3587745.1,78028.38408,"Outlier detection with Feng. Corrected with ratio DEU"
"0108","2008","BGR",16836642,254968,55828510,757332,"Corrected with ratio EST"
"0108","2009","BGR",24464022,370474,44838033,560856,"Corrected with ratio EST"
"0108","2010","BGR",20258807,306792,39178430,463975,"Corrected with ratio EST"
"0108","2011","BGR",23488882,355707,40958751,487578,"Corrected with ratio EST"
"0108","2012","BGR",22069055,334206,27380282,289984,"Corrected with ratio EST"
"0108","2013","BGR",20772481,314571,24779964,255867,"Corrected with ratio EST"
"0108","2014","BGR",18870282,285765,38931889,466833,"Corrected with ratio EST"
"0108","2015","BGR",17990949,272448,34602977,378348,"Corrected with ratio EST"
"0108","1998","ESP",65617393,1740508,116493000,1832831,"High outlier. Corrected with ratio ITA"
"0108","1999","ESP",58595387,1554248,125818000,1956925,"High outlier. Corrected with ratio ITA"
"0108","2000","ESP",51581166,1368195,135677000,2089046,"High outlier. Corrected with ratio ITA"
"0108","2001","ESP",72781971,1930549,146113000,2229672,"High outlier. Corrected with ratio ITA"
"0108","2002","ESP",80901242,2145913,147400000,2321390,"High outlier. Corrected with ratio ITA"
"0108","2003","ESP",61174324,1622655,164354000,2663090,"High outlier. Corrected with ratio ITA"
"0108","2004","ESP",68044730,1804900,188729500.9,3754075.246,"Lucia's data, add max 20% because of freeriders. Also with 0104 our data was similarly higher."
"0108","2005","ESP",70370664,1841200,141619708,2682727.13,"Lucia's data, add max 20% because of freeriders. Also with 0104 our data was similarly higher."
"0108","2006","ESP",76921653,1986100,132228977.5,2494067,"Lucia's data, add max 20% because of freeriders. Also with 0104 our data was similarly higher."
"0108","2007","ESP",73110975,1862700,90527484.71,1753650.246,"Lucia's data, add max 20% because of freeriders. Also with 0104 our data was similarly higher."
"0108","2008","ESP",63190568,1589300,47151106.41,983121,"Lucia's data, add max 20% because of freeriders. Also with 0104 our data was similarly higher."
"0108","1998","ITA",134851404,2694559,6814863.16,1659020.28,"Low outlier. Corrected with ratio PRT"
"0108","2005","ITA",125162749,2500964,139566228,2727132,"Corrected with ratio PRT"
"0108","2006","ITA",126797143,2533622,74569993,1386688,"Corrected with ratio PRT"
"0108","2007","ITA",137057954,2738650,131926155,2970712,"Corrected with ratio PRT"
"0108","2008","ITA",140565923,2808745,43237634,997132,"Corrected with ratio PRT"
"0108","2009","ITA",122252729,2442817,50804136,1194395,"Corrected with ratio PRT"
